game_date,game_id,player,team,opp,is_home,market_type,stat,threshold,yes_ask,model_prob,pred_stat,lineup_adj,edge,direction,kelly,rest_days,opp_def_l10,game_in_series,ticker,run_date
2026-05-03,26MAY03TORCLE,Evan Mobley,CLE,TOR,1,PROP,BLK,2.0,0.53,0.094,1.1,0.0,0.436,NO,0.25,2.0,109.6,7,KXNBABLK-26MAY03TORCLE-CLEEMOBLEY4-2,2026-05-03
2026-05-03,26MAY03TORCLE,Dennis Schröder,CLE,TOR,1,PROP,STL,1.0,0.64,0.272,0.4,0.0,0.368,NO,0.25,2.0,109.6,7,KXNBASTL-26MAY03TORCLE-CLEDSCHRODER8-1,2026-05-03
2026-05-03,26MAY03TORCLE,Scottie Barnes,TOR,CLE,0,PROP,PTS,20.0,0.63,0.326,17.4,0.0,0.304,NO,0.2411,2.0,114.8,7,KXNBAPTS-26MAY03TORCLE-TORSBARNES4-20,2026-05-03
2026-05-03,26MAY03TORCLE,Evan Mobley,CLE,TOR,1,PROP,BLK,1.0,0.83,0.536,1.1,0.0,0.294,NO,0.1773,2.0,109.6,7,KXNBABLK-26MAY03TORCLE-CLEEMOBLEY4-1,2026-05-03
2026-05-03,26MAY03TORCLE,Scottie Barnes,TOR,CLE,0,PROP,REB,7.0,0.58,0.308,5.8,0.0,0.272,NO,0.2347,2.0,114.8,7,KXNBAREB-26MAY03TORCLE-TORSBARNES4-7,2026-05-03
2026-05-03,26MAY03TORCLE,Scottie Barnes,TOR,CLE,0,PROP,REB,8.0,0.44,0.181,5.8,0.0,0.259,NO,0.25,2.0,114.8,7,KXNBAREB-26MAY03TORCLE-TORSBARNES4-8,2026-05-03
2026-05-03,26MAY03TORCLE,Scottie Barnes,TOR,CLE,0,PROP,REB,6.0,0.72,0.463,5.8,0.0,0.257,NO,0.1782,2.0,114.8,7,KXNBAREB-26MAY03TORCLE-TORSBARNES4-6,2026-05-03
2026-05-03,26MAY03TORCLE,Evan Mobley,CLE,TOR,1,PROP,BLK,3.0,0.26,0.003,1.1,0.0,0.257,NO,0.25,2.0,109.6,7,KXNBABLK-26MAY03TORCLE-CLEEMOBLEY4-3,2026-05-03
2026-05-03,26MAY03TORCLE,Scottie Barnes,TOR,CLE,0,PROP,PTS,25.0,0.34,0.095,17.4,0.0,0.245,NO,0.25,2.0,114.8,7,KXNBAPTS-26MAY03TORCLE-TORSBARNES4-25,2026-05-03
2026-05-03,26MAY03TORCLE,Donovan Mitchell,CLE,TOR,1,PROP,FG3M,3.0,0.56,0.316,2.4,0.0,0.244,NO,0.2183,2.0,109.6,7,KXNBA3PT-26MAY03TORCLE-CLEDMITCHELL45-3,2026-05-03
